policy,country,status,explanation,source
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Philippines,YES,"The Philippines imposes hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products, particularly those under the List A of prescription antimicrobials, which are restricted to hospital use only as per the Department of Health's Antimicrobial Resistance program.","https://doh.gov.ph/sites/default/files/health_programs/AMR_2022-02.pdf,https://psmid.org/wp-content/uploads/2020/06/Antimicrobial-Stewardship-Program-in-Philippines.pdf"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Philippines,YES,"The Philippines publishes national antimicrobial resistance (AMR) surveillance data through the Philippines Antimicrobial Resistance Surveillance Program (ARSP), which monitors and reports data on AMR trends related to pharmaceutical products.","https://www.doh.gov.ph/antimicrobial-resistance-surveillance-program,https://www.who.int/publications/i/item/9789241515528"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Cambodia,NO,"Cambodia does not accept the ICH CTD format for innovator pharmaceutical product registrations; instead, it requires submissions in the ASEAN Common Technical Dossier (ACTD) format.","https://www.productlifegroup.com/introduction-asean-common-technical-dossier-actd-pharmaceutical-registration/,https://omcmedical.com/cambodia-drug-product-registration/"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Cambodia,PARTIAL,"Cambodia's Ministry of Health offers the Cambodia Pharmaceutical Online Registration System (CamPORS) for online submission of pharmaceutical product marketing authorization applications, but users have reported difficulties with its usability and functionality, indicating that it may not yet be fully effective.","https://www.trade.gov/healthcare-resource-guide-cambodia,https://www.eurocham-advocacy-compass.com/online-pharmaceutical-registration-platform-ref6072/"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Cambodia,NO,"Cambodia does not legally require automatic acceptance of another ASEAN Member State's Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers; Cambodia conducts its own GMP inspections and may recognize ASEAN GMP certificates as supportive documents, but does not accept them as a legal requirement for registration or market authorization.","https://asean.org/wp-content/uploads/2021/10/Annex-8-Guidelines-on-the-Recognition-of-ASEAN-GMP-For-Pharmaceuticals.pdf,http://www.ddfcambodia.com/uploads/3/2/3/3/3233492/gmp_in_cambodia.pdf"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Cambodia,UNKNOWN,Specific information regarding Cambodia's acceptance of stability data at 25°C/60% RH supported by accelerated stability studies is not readily available in the provided sources.,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Cambodia,UNKNOWN,"Specific information regarding Cambodia's acceptance of bracketing and matrixing study designs in pharmaceutical stability testing is not readily available. However, Cambodia is a member of the Association of Southeast Asian Nations (ASEAN), which has established guidelines on stability studies that include provisions for bracketing and matrixing designs. Therefore, it is likely that Cambodia follows these ASEAN guidelines. ([scribd.com](https://www.scribd.com/document/668621521/ASEAN-Guidelines-on-Stability-and-Shelf-Life-HS-V1-0-With-Disclaimer?utm_source=openai))",https://www.scribd.com/document/668621521/ASEAN-Guidelines-on-Stability-and-Shelf-Life-HS-V1-0-With-Disclaimer
Requires halal certification for pharmaceutical products.,Cambodia,UNKNOWN,"Cambodia has established a halal certification system primarily for food products, but specific requirements for pharmaceutical products are not clearly defined in the available sources.","https://www.ccfdg.gov.kh/en/about-ccf/department-of-halal/,https://www.khmertimeskh.com/112276/cambodia-launches-halal-certification-and-label/"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Cambodia,UNKNOWN,There is no specific information available regarding Cambodia's requirement for a 'red dot' symbol on prescription-only pharmaceutical products.,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Cambodia,NO,"Cambodia does not target an average marketing authorization approval timeline of six months or less for pharmaceutical products; the process typically takes between 6 to 12 months, depending on factors such as the number of applications received and the workload of the Ministry of Health.","https://credevo.com/articles/2021/03/15/generic-drug-registration-process-in-cambodia/,https://www.trade.gov/index.php/healthcare-resource-guide-cambodia"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Cambodia,NO,"There is no evidence that Cambodia has specific hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products, as the country's regulations mainly focus on prescription requirements and authorized importers rather than restricting certain antimicrobials to hospital use only.","https://apps.who.int/medicinedocs/documents/s23440en/s23440en.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7482090/,https://apps.who.int/iris/handle/10665/330706"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Cambodia,PARTIAL,"Cambodia publishes national antimicrobial resistance (AMR) surveillance data, but the available information does not specify whether this data is directly related to pharmaceutical products.","https://cdcmoh.gov.kh/amr/,https://cdcmoh.gov.kh/prevention-control/amr"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Singapore,YES,Singapore's Health Sciences Authority (HSA) accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,https://www.hsa.gov.sg/therapeutic-products/register/overview/overview
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Singapore,YES,Singapore provides a fully digital online submission portal called PRISM (Pharmaceutical Regulatory Information System) for the submission of marketing authorization applications for pharmaceutical products.,"https://www.hsa.gov.sg/therapeutic-products/apply/overview,https://www.hsa.gov.sg/prism"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Singapore,YES,Singapore is legally obligated to accept Good Manufacturing Practice (GMP) certificates and inspection reports from ASEAN Member States' Listed Inspection Services under the 2009 ASEAN Sectoral Mutual Recognition Arrangement (MRA) on GMP Inspection. ([cil.nus.edu.sg](https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/?utm_source=openai)),https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Singapore,PARTIAL,"Singapore generally requires stability data at 30°C/75% RH for long-term storage for pharmaceutical products, but permits 25°C/60% RH data only in exceptional circumstances and when justified, often requiring supportive accelerated stability data.","https://www.hsa.gov.sg/docs/default-source/hprg-vdrg/gn-10_guidance_for_stability_testing_of_drug_products_july-2016.pdf,https://www.hsa.gov.sg/therapeutic-products/registration-guides/stability"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Singapore,YES,"Singapore's Health Sciences Authority (HSA) has adopted the ICH Q1D guideline, which provides guidance on bracketing and matrixing designs for stability testing of new drug substances and products.",https://www.hsa.gov.sg/therapeutic-products/international-collaboration/ich
Requires halal certification for pharmaceutical products.,Singapore,NO,"Singapore does not require halal certification for pharmaceutical products; halal certification in Singapore is mainly focused on food, beverages, and related consumables, while pharmaceutical products are generally not included under mandatory halal regulations.",https://www.muis.gov.sg/Our-Services/Halal-Certification
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Singapore,NO,"Singapore does not mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products. The Health Sciences Authority (HSA) regulates therapeutic products through classifications such as Prescription-Only Medicines (POM), Pharmacy-Only Medicines (P), and General Sale List (GSL) medicines, but there is no requirement for a 'red dot' symbol on POMs. ([hsa.gov.sg](https://www.hsa.gov.sg/consumer-safety/articles/details/therapeutic-products-regulation?utm_source=openai))",https://www.hsa.gov.sg/consumer-safety/articles/details/therapeutic-products-regulation
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Singapore,YES,"The Health Sciences Authority (HSA) of Singapore targets a timeline of 120 working days (approximately six months) for the evaluation of new drug applications under its standard route, with expedited routes available for priority medicines.","https://www.hsa.gov.sg/therapeutic-products/regulatory-overview/overview,https://www.hsa.gov.sg/therapeutic-products/registration/overview#registration_routes"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Singapore,NO,"Singapore does not impose hospital-only distribution restrictions for antimicrobial pharmaceutical products; instead, antimicrobials for human use are classified as prescription-only medicines, requiring a valid prescription for dispensing. ([thelancet.com](https://www.thelancet.com/journals/lanwpc/article/PIIS2666-6065%2820%2930084-5/fulltext?utm_source=openai))",https://www.thelancet.com/journals/lanwpc/article/PIIS2666-6065%2820%2930084-5/fulltext
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Singapore,YES,"Singapore publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products through its biennial One Health Report on Antimicrobial Utilisation and Resistance, which includes data on antimicrobial utilisation and resistance across human, animal, food, and environmental sectors.",https://www.moh.gov.sg/others/resources-and-statistics/one-health-report-on-antimicrobial-utilisation-and-resistance-2021
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Malaysia,YES,"Malaysia accepts the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations, as well as the ASEAN Common Technical Dossier (ACTD) format.","https://www.productlifegroup.com/specific-regulations-requirements-international-markets/,https://www.rginsight.com/registration-of-drug-product-in-malaysia-2025"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Malaysia,YES,Malaysia provides a fully digital online submission portal called Quest3+ for pharmaceutical product registration and marketing authorization applications.,"https://npra.gov.my/index.php/en/information/quest3,https://www.pharmconnect.com.my/quest3"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Malaysia,YES,"Malaysia is legally obligated to accept cGMP certificates from other ASEAN Member States under the ASEAN Sectoral Mutual Recognition Arrangement (MRA) on GMP Inspection, which requires member states to recognize each other's GMP certificates and inspection reports to avoid duplication of inspections.",https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Malaysia,NO,"Malaysia requires stability data at 30°C ± 2°C/75% RH ± 5% RH for pharmaceutical products, and does not accept data at 25°C/60% RH, even if supported by accelerated stability studies.","https://www.stabilitystudies.in/asean-stability-guidelines-and-their-implementation-a-regulatory-overview/,https://npra.gov.my/index.php/en/component/content/article/94-industries/prescription/1487-step-1-pre-submission-of-application-preparation?Itemid=437"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Malaysia,YES,"Malaysia, as a member of the Association of Southeast Asian Nations (ASEAN), follows the ASEAN Guidelines on Stability and Shelf Life, which permit the use of bracketing and matrixing study designs in pharmaceutical product stability testing.",https://www.scribd.com/document/668621521/ASEAN-Guidelines-on-Stability-and-Shelf-Life-HS-V1-0-With-Disclaimer
Requires halal certification for pharmaceutical products.,Malaysia,PARTIAL,"Malaysia does not require all pharmaceutical products to have halal certification, but it encourages manufacturers to obtain it for products intended for Muslim consumers, especially since guidelines and a Halal Pharmaceutical Standard (MS2424:2012) have been established.","https://halal.gov.my/v4/images/pdf/halalPharmaceuticalStandard.pdf,https://www.npra.gov.my/easyarticles/images/users/1047/HalalPharmaceuticalGuideline.pdf,https://www.theedgemarkets.com/article/halal-certification-pharmaceuticals-benefits-and-challenges"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Malaysia,NO,"Malaysia does not mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products; instead, it requires a hologram security label known as Meditag™ to verify product registration. ([mirandahlaw.com](https://www.mirandahlaw.com/132-malaysia-enforces-pharmaceutical-labeling/?utm_source=openai))",https://www.mirandahlaw.com/132-malaysia-enforces-pharmaceutical-labeling/
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Malaysia,NO,"Malaysia's National Pharmaceutical Regulatory Agency (NPRA) targets marketing authorization approval timelines exceeding six months, with standard reviews for new drug products and biologics set at 245 working days (approximately 12 months).",https://pharmacy.moh.gov.my/en/content/clients-charter.html
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Malaysia,YES,"Malaysia restricts the distribution of certain classes of antimicrobials, such as carbapenems and colistin, to hospital use only, making them accessible primarily in hospital settings to manage antimicrobial resistance.","https://www.oecd-ilibrary.org/sites/ae3016f9-en/index.html?itemId=/content/component/ae3016f9-en,https://www.moh.gov.my/moh/resources/auto%20download%20images/5877200d62c5c.pdf"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Malaysia,YES,Malaysia publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products through reports like the National Surveillance on Antimicrobial Utilisation (NSAU) and the National Antibiotic Resistance Surveillance (NSAR) Report.,"https://myohar.moh.gov.my/reports-human-health/,https://qhub.moh.gov.my/web/resources/national-antibiotic-resistance-surveillance-nsar-report.html"
