policy,country,status,explanation,source
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Myanmar,NO,Myanmar does not currently publish national AMR surveillance data related to pharmaceutical products due to challenges in implementing a centralized system and a lack of comprehensive data accessibility.,"https://www.informea.org/en/content/legislation/myanmar-national-action-plan-containment-antimicrobial-resistance-2017-2022?utm_source=openai,https://pmc.ncbi.nlm.nih.gov/articles/PMC8315476/?utm_source=openai,https://pubmed.ncbi.nlm.nih.gov/34070228/?utm_source=openai,https://pmc.ncbi.nlm.nih.gov/articles/PMC7568216/?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Philippines,YES,"The Philippines accepts the ICH CTD format for innovator pharmaceutical product registrations as per the Department of Health's Administrative Order No. 2013-0021, aligning with ASEAN harmonization while requiring compliance with specific regional standards for certain CTD sections.","https://www.global-regulation.com/law/philippines/471984/doh-administrative-order-no.-2013-0021.html?utm_source=openai,https://www.scribd.com/document/430375236/Drug-Approval-System-of-the-Philippines-pdf?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Philippines,YES,"The Philippines provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the FDA e-Portal System, which allows for digital submissions, pre-assessment, integrated payments, and application tracking.","https://www.pharmatomarket.com/philippines-fda-starts-pilot-implementation-of-eservices-portal-system-for-drug-products/?utm_source=openai,https://www.tripleiconsulting.com/how-register-huhs-products-with-fda-philippines/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Philippines,YES,"The Philippines is legally required to accept certificates of Good Manufacturing Practice (cGMP) from other ASEAN Member States as it is a signatory to the ASEAN Sectoral Mutual Recognition Arrangement on GMP, which mandates such acceptance.","https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/?utm_source=openai,https://www.npra.gov.my/index.php/en/industry-news-announcements/more-recent-updates/225-english/1527062-philippines-fda-included-in-list-of-asean-inspection-services.html?utm_source=openai,https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Philippines,YES,"The Philippines permits the submission of stability data for pharmaceutical products stored at 25°C/60% RH, supported by long-term and accelerated stability studies as per ASEAN guidelines.",https://www.scribd.com/document/457681671/ASEAN-GUIDELINE-ON-STABILITY-STUDY-OF-DRUG-PRODUCT-docx?utm_source=openai
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Philippines,YES,"The Philippines allows the use of bracketing and matrixing in pharmaceutical product stability testing, adhering to ASEAN and ICH guidelines, with specific conditions and justifications required for certain complex drug delivery systems.","https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug?utm_source=openai,https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline?utm_source=openai"
Requires halal certification for pharmaceutical products.,Philippines,NO,"In the Philippines, halal certification is not mandatory for pharmaceutical products, although it can enhance market access and consumer trust, particularly in Muslim-majority regions.","https://en.wikipedia.org/wiki/Halal_certification_in_the_Philippines?utm_source=openai,https://www.hdiphilippineshalal.com/?utm_source=openai,https://salaamgateway.com/story/philippines-pharma-to-enter-halal-market?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Philippines,NO,"The Philippines does not specifically mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products as indicated by Republic Act No. 5921 and FDA guidelines, which focus instead on other labeling requirements.","https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/18576?utm_source=openai,https://fr.scribd.com/document/430375236/Drug-Approval-System-of-the-Philippines-pdf?utm_source=openai"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Philippines,NO,"The standard processing time for initial applications of new pharmaceutical products in the Philippines is currently set at a maximum of 254 calendar days, which exceeds the six-month target for marketing authorization.","https://www.scribd.com/document/430375236/Drug-Approval-System-of-the-Philippines-pdf?utm_source=openai,https://pco.gov.ph/news_releases/fda-to-shorten-review-approval-process-of-generic-drugs-from-120-days-to-45-days/?utm_source=openai,https://trial.medpath.com/news/966b7b1612d94ee3/fda-to-slash-drug-approval-times-by-half-with-new-streamlined-procedures?utm_source=openai"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Philippines,YES,"The Philippines imposes hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products, requiring that hospitals have accredited laboratories to utilize these drugs, as mandated by DOH Administrative Order No. 2016-0034 and PhilHealth Circular No. 2018-0009.",https://legisph.com/statute/philhealth-circular-no-2018-0009?utm_source=openai
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Philippines,YES,"The Philippines publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products through the Antimicrobial Resistance Surveillance Program (ARSP), which has been operational since 1988 and releases annual reports that are publicly accessible.","https://arsp.com.ph/arsp-2022-annual-report-data-summary-is-now-available-for-download/?utm_source=openai,https://www.wma.net/news-post/24685/amr-bulletin-4-0/?utm_source=openai,https://www.who.int/westernpacific/health-topics/antimicrobial-resistance/wpracss?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Cambodia,NO,"Cambodia does not accept the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations, as it adheres to the ASEAN Common Technical Dossier (ACTD) format instead.","https://pubmed.ncbi.nlm.nih.gov/32008246/?utm_source=openai,https://www.pharmatutor.org/articles/registration-dossier-pharmaceuticals?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Cambodia,YES,"Cambodia provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the Cambodia Pharmaceutical Online Registration System (CamPORS), launched in 2019 by the Ministry of Health.","https://www.eurocham-advocacy-compass.com/online-pharmaceutical-registration-platform-ref6072/?utm_source=openai,https://nhqconlineregistration.nhqc.org.kh/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Cambodia,YES,"Cambodia legally requires acceptance of another ASEAN Member State's Certificate of Good Manufacturing Practice (cGMP) due to the ASEAN Sectoral Mutual Recognition Arrangement on GMP signed by all ASEAN member states on April 10, 2009.","https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/?utm_source=openai,https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/?utm_source=openai,https://www.trade.gov/healthcare-resource-guide-cambodia?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Cambodia,NO,"In Cambodia, the ASEAN Stability Guidelines dictate that long-term stability testing must occur at conditions of 30°C ± 2°C with 75% relative humidity, implying that stability studies at 25°C/60% RH are not aligned with the guidelines and are insufficient for regulatory submissions.",https://www.researchgate.net/publication/284463697_Stability_testing_of_pharmaceutical_products_in_a_global_environment?utm_source=openai
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Cambodia,YES,"Cambodia allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing, in accordance with ASEAN and ICH guidelines that endorse these methods.","https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug?utm_source=openai,https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline?utm_source=openai"
Requires halal certification for pharmaceutical products.,Cambodia,NO,"Obtaining halal certification for pharmaceutical products in Cambodia is not mandatory, although it can enhance marketability and consumer trust.","https://www.ccfdg.gov.kh/en/about-ccf/department-of-halal/?utm_source=openai,https://www.ccfdg.gov.kh/en/commission-committee/new-title-3/?utm_source=openai,https://cert-ease.com/halal-certification-in-cambodia/?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Cambodia,NO,"Cambodia does not specifically mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products, as indicated by the absence of such a requirement in their labeling regulations.","https://cambodiantr.gov.kh/commodity/impregnated-or-coated-with-pharmaceutical-substances/?utm_source=openai,https://www.scribd.com/document/822590612/labelling-of-allopathy?utm_source=openai,https://mandiradistra.com/en/health-tips/this-is-the-kind-of-symbol-for-drugs-there-is-a-logo-on-hard-drugs/?utm_source=openai"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Cambodia,NO,"Cambodia does not target an average marketing authorization approval period of six months or less for pharmaceutical products, as the approval process for generic drugs typically takes between 6 to 12 months.",https://credevo.com/articles/2021/03/15/generic-drug-registration-process-in-cambodia/?utm_source=openai
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Cambodia,PARTIAL,"Cambodia has restrictions requiring prescriptions for antibiotics, but enforcement is hindered by informal sellers who distribute these medications without prescriptions, especially in rural areas.","https://www.phnompenhpost.com/national/who-misuse-of-antibiotics-costing-region-lives-billions-of-dollars?utm_source=openai,https://pmc.ncbi.nlm.nih.gov/articles/PMC6768357/?utm_source=openai,https://www.who.int/cambodia/news/detail/23-12-2019-cambodia-launched-multi-sectoral-action-plan-for-guiding-national-control-of-antimicrobial-resistance?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Cambodia,YES,"Cambodia publishes national antimicrobial resistance (AMR) surveillance data through a laboratory-based system established by the Ministry of Health, which includes reports accessible via the Cambodian CDC's dedicated webpage and a Multi-Sectoral Action Plan emphasizing surveillance.","https://www.ijidonline.com/article/S1201-9712%2820%2930882-1/fulltext?utm_source=openai,https://cjph.niph.org.kh/index.php/cjph/article/view/442?utm_source=openai,https://www.who.int/cambodia/news/detail/23-12-2019-cambodia-launched-multi-sectoral-action-plan-for-guiding-national-control-of-antimicrobial-resistance?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Singapore,YES,"Singapore accepts the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations, as required by the Health Sciences Authority (HSA), which also plans to transition to electronic submissions with the eCTD system.","https://www.hsa.gov.sg/ctgtp/registration/overview/registration-process?utm_source=openai,https://www.extedo.com/blog/singapores-transition-to-ectd?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Singapore,YES,Singapore provides a fully digital online submission portal through the HSA's Pharmaceutical Regulatory and Information System (PRISM) and the EasiShare platform for pharmaceutical marketing authorization applications.,"https://www.pacificbridgemedical.com/uncategorized/singapore-drug-registration-a-comprehensive-guide/?utm_source=openai,https://insightplus.bakermckenzie.com/bm/healthcare-life-sciences/singapore-regulatory-updates-for-therapeutic-product-registration-august-2024?utm_source=openai,https://www.globalcompliancenews.com/2023/06/01/https-insightplus-bakermckenzie-com-bm-healthcare-life-sciences-singapore-health-sciences-authority-holds-industry-consultation-on-electronic-common-technical-document-implementation_05292023/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Singapore,NO,"As of August 2025, Singapore does not legally require the acceptance of Certificates of Good Manufacturing Practice (cGMP) from other ASEAN Member States for pharmaceutical manufacturers, as per the regulations set by the Health Sciences Authority (HSA).",https://www.hsa.gov.sg/
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Singapore,NO,"Singapore's regulatory guidelines emphasize stability testing at higher temperatures and humidity levels, making submissions for data at 25°C/60% RH not compliant with local requirements (source: [xinfuda-group.com](https://www.xinfuda-group.com/news/stability-testing-of-new-drug-substances-and-products.html?utm_source=openai), [stabilitystudies.in](https://www.stabilitystudies.in/stability-studies-key-regulatory-guidelines-for-global-compliance/?utm_source=openai)).","https://www.xinfuda-group.com/news/stability-testing-of-new-drug-substances-and-products.html?utm_source=openai,https://www.stabilitystudies.in/stability-studies-key-regulatory-guidelines-for-global-compliance/?utm_source=openai"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Singapore,YES,Singapore allows the use of bracketing and matrixing designs in pharmaceutical stability testing as long as they are scientifically justified and adhere to established guidelines such as those from ICH Q1D.,https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline?utm_source=openai
Requires halal certification for pharmaceutical products.,Singapore,PARTIAL,"Singapore's MUIS can certify pharmaceutical products, but it has primarily focused on consumables and there are reported restrictions against certifying non-consumables, which may include many pharmaceuticals.","https://www.muis.gov.sg/Halal/About?utm_source=openai,https://www.personalcaremagazine.com/story/15732/twenty-years-of-halal-manufacturing?utm_source=openai,https://www.prnewswire.com/ae/news-releases/pasture-announces-first-halal-certified-surgical-n95-masks-for-healthcare-and-public-use-856238029.html?utm_source=openai,https://www.theonlinecitizen.com/2021/01/28/halal-certification-conundrum-mccy-says-muis-wont-certify-non-consumables-but-reminds-companies-that-it-is-illegal-to-secure-foreign-halal-certification/?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Singapore,NO,"Singapore does not mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products, as its medication classification is indicated by registration status rather than specific symbols.","https://en.wikipedia.org/wiki/Little_red_dot?utm_source=openai,https://www.pacificbridgemedical.com/ufaq/what-are-the-labeling-requirements-for-registered-drugs-in-singapore/?utm_source=openai,https://www.mims.com/SINGAPORE/Viewer/Html/PoisonCls.htm?utm_source=openai"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Singapore,NO,"Singapore does not target an average marketing authorization approval timeline of six months or less; the full evaluation can take approximately 270 days, the abridged route around 180 days, and even the expedited verification route takes about 60 days, which exceeds the six-month target.",https://www.pacificbridgemedical.com/uncategorized/singapore-drug-registration-a-comprehensive-guide/?utm_source=openai
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Singapore,PARTIAL,"Singapore does not have explicit 'hospital-only' distribution restrictions for certain classes of antimicrobial products, but regulatory measures effectively limit their availability primarily to hospital settings through prescription-only classifications and antimicrobial stewardship programs.","https://www.proquest.com/docview/2856762647?utm_source=openai,https://www.todayonline.com/commentary/getting-hospitals-cut-down-inappropriate-prescription-antibiotics?utm_source=openai,https://www.cda.gov.sg/professionals/antimicrobial-resistance/amrco-nsap?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Singapore,YES,"Singapore publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products through the biennial 'One Health Report on Antimicrobial Utilisation and Resistance', coordinated by various governmental agencies including the Ministry of Health and the Antimicrobial Resistance Coordinating Office (AMRCO).","https://www.cda.gov.sg/professionals/antimicrobial-resistance/amrco-nsap?utm_source=openai,https://www.moh.gov.sg/others/resources-and-statistics/one-health-report-on-antimicrobial-utilisation-and-resistance-2021?utm_source=openai"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Malaysia,YES,"Malaysia accepts the ICH CTD format for the registration of innovator pharmaceutical products, as stated by the National Pharmaceutical Regulatory Agency (NPRA).","https://npra.gov.my/index.php/my/product-registration-process-for-nce/step-1-pre-submission-of-application-preparation-for-nce.html?utm_source=openai,https://www.rginsight.com/registration-of-drug-product-in-malaysia-2025?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Malaysia,YES,Malaysia provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the QUEST3+ system managed by the National Pharmaceutical Regulatory Agency (NPRA).,"https://npra.gov.my/index.php/my/submission-main-page?utm_source=openai,https://practiceguides.chambers.com/practice-guides/life-sciences-2024/malaysia?utm_source=openai,https://www.pacificbridgemedical.com/uncategorized/drug-registration-in-malaysia/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Malaysia,YES,"Malaysia is legally required to accept Good Manufacturing Practice (GMP) certificates from other ASEAN Member States under the ASEAN Sectoral Mutual Recognition Arrangement (MRA) established in 2009, which mandates cooperation in regulatory standards.","https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/?utm_source=openai,https://www.pharmagmp.in/malaysias-npra-gmp-guidelines/?utm_source=openai,https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Malaysia,PARTIAL,"Malaysia allows submission of stability data at 25°C/60% RH if supported by scientifically justified accelerated stability studies conducted under those conditions, despite the primary guidelines specifying other conditions.","https://npra.gov.my/index.php/en/component/content/article/94-industries/prescription/1487-step-1-pre-submission-of-application-preparation?Itemid=437&utm_source=openai,https://www.scribd.com/document/457681671/ASEAN-GUIDELINE-ON-STABILITY-STUDY-OF-DRUG-PRODUCT-docx?utm_source=openai"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Malaysia,YES,"Malaysia permits the use of bracketing and matrixing study designs in pharmaceutical product stability testing, aligning with the ASEAN Guideline on Stability Study which harmonizes with ICH standards.","https://www.ema.europa.eu/en/ich-q1d-bracketing-matrixing-designs-stability-testing-drug-substances-drug-products-scientific-guideline?utm_source=openai,https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug?utm_source=openai"
Requires halal certification for pharmaceutical products.,Malaysia,NO,"Malaysia does not require halal certification for pharmaceutical products, but it is highly encouraged for products intended for export to Muslim-majority countries, as overseen by the Department of Islamic Development Malaysia (JAKIM).","https://halalpharmacore.com/malaysia-product-certification/?utm_source=openai,https://www.mida.gov.my/mida-news/malaysia-leads-global-halal-pharmaceutical-industry/?utm_source=openai,https://en.wikipedia.org/wiki/Hovid_%28company%29?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Malaysia,NO,"Malaysia does not specifically mandate the use of a 'red dot' symbol on prescription-only pharmaceutical products, as the current regulations focus on clear labeling without such symbols.",https://www.myrxnote.com/2020/11/labelling-of-medicine.html?utm_source=openai
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Malaysia,NO,"Malaysia's NPRA targets are set at 245 working days for new chemical entities and biologics, with actual approval times exceeding these, such as a median of 399 calendar days observed in practice.","https://pharmacy.moh.gov.my/en/content/clients-charter.html?utm_source=openai,https://link.springer.com/article/10.1007/s43441-025-00846-3?utm_source=openai"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Malaysia,YES,"Malaysia imposes hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products as part of its Antimicrobial Stewardship Programme, requiring prior approval before use to ensure appropriate prescribing and combat antimicrobial resistance.","https://pharmacy.moh.gov.my/en/documents/protocol-antimicrobial-stewardship-program-healthcare-facilities.html?utm_source=openai,https://pubmed.ncbi.nlm.nih.gov/27648056/?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Malaysia,YES,"Malaysia publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products through various programs, such as the National Surveillance on Antimicrobial Utilisation (NSAU) and the National Surveillance of Antibiotic Resistance (NSAR), which monitor utilization and resistance patterns across the country.","https://sites.google.com/moh.gov.my/nag/information/antimicrobial-utilisation-data?utm_source=openai,https://imr.moh.gov.my/en/corporate-info/organisation-chart/75-english-content/national-collaboration/1469-nsar-main?utm_source=openai,https://www.who.int/westernpacific/newsroom/feature-stories/item/who-supports-the-strengthening-of-malaysia-s-antimicrobial-resistance-surveillance-and-laboratory-capacities-in-hospital-settings?utm_source=openai"
